#: table_doi: 10.17182/hepdata.59488.v1/t46
#: name: Table 46
#: description: V_n vs PT for centrality 0 TO 5%.

#: data_file: Table46.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: RE,,,PB PB --> CHARGED X
#: CENTRALITY [pct],,,0.0-5.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: N,,,2.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V_n','stat +','stat -','sys +','sys -'
0.55,0.5,0.6,0.01988,4e-05,-4e-05,0.00119,-0.00119
0.7,0.6,0.8,0.02367,3e-05,-3e-05,0.00142,-0.00142
0.9,0.8,1.0,0.02941,3e-05,-3e-05,0.00177,-0.00177
1.1,1.0,1.2,0.03465,4e-05,-4e-05,0.00208,-0.00208
1.2999999999999998,1.2,1.4,0.03932,5e-05,-5e-05,0.00236,-0.00236
1.5,1.4,1.6,0.04356,6e-05,-6e-05,0.00261,-0.00261
1.7000000000000002,1.6,1.8,0.04739,8e-05,-8e-05,0.00284,-0.00284
1.9,1.8,2.0,0.05103,9e-05,-9e-05,0.00306,-0.00306
2.1,2.0,2.2,0.05439,0.00011,-0.00011,0.00326,-0.00326
2.3,2.2,2.4,0.05727,0.00014,-0.00014,0.00344,-0.00344
2.5,2.4,2.6,0.05996,0.00017,-0.00017,0.0036,-0.0036
2.7,2.6,2.8,0.06194,0.00021,-0.00021,0.00372,-0.00372
2.9,2.8,3.0,0.06275,0.00025,-0.00025,0.00377,-0.00377
3.1,3.0,3.2,0.06475,0.00031,-0.00031,0.00388,-0.00388
3.3,3.2,3.4,0.06478,0.00037,-0.00037,0.00389,-0.00389
3.5,3.4,3.6,0.06367,0.00045,-0.00045,0.00382,-0.00382
3.7,3.6,3.8,0.06377,0.00054,-0.00054,0.00383,-0.00383
3.9,3.8,4.0,0.06174,0.00064,-0.00064,0.0037,-0.0037
4.25,4.0,4.5,0.06,0.00054,-0.00054,0.0036,-0.0036
4.75,4.5,5.0,0.05324,0.00078,-0.00078,0.00319,-0.00319
5.5,5.0,6.0,0.04527,0.00086,-0.00086,0.00272,-0.00272
6.5,6.0,7.0,0.03304,0.00141,-0.00141,0.00198,-0.00198
7.5,7.0,8.0,0.03211,0.00207,-0.00207,0.00193,-0.00193
9.0,8.0,10.0,0.02786,0.00225,-0.00225,0.00167,-0.00167
11.0,10.0,12.0,0.01737,0.00387,-0.00387,0.00104,-0.00104

#: RE,,,PB PB --> CHARGED X
#: CENTRALITY [pct],,,0.0-5.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: N,,,3.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V_n','stat +','stat -','sys +','sys -'
0.55,0.5,0.6,0.01266,4e-05,-4e-05,0.00044,-0.00044
0.7,0.6,0.8,0.01685,3e-05,-3e-05,0.00059,-0.00059
0.9,0.8,1.0,0.02364,4e-05,-4e-05,0.00083,-0.00083
1.1,1.0,1.2,0.03037,5e-05,-5e-05,0.00106,-0.00106
1.2999999999999998,1.2,1.4,0.03673,6e-05,-6e-05,0.00128,-0.00128
1.5,1.4,1.6,0.04313,7e-05,-7e-05,0.00151,-0.00151
1.7000000000000002,1.6,1.8,0.04885,9e-05,-9e-05,0.00171,-0.00171
1.9,1.8,2.0,0.0548,0.0001,-0.0001,0.00192,-0.00192
2.1,2.0,2.2,0.06041,0.00013,-0.00013,0.00212,-0.00212
2.3,2.2,2.4,0.06591,0.00015,-0.00015,0.00231,-0.00231
2.5,2.4,2.6,0.07083,0.00019,-0.00019,0.00248,-0.00248
2.7,2.6,2.8,0.07518,0.00023,-0.00023,0.00263,-0.00263
2.9,2.8,3.0,0.07823,0.00028,-0.00028,0.00274,-0.00274
3.1,3.0,3.2,0.08135,0.00034,-0.00034,0.00285,-0.00285
3.3,3.2,3.4,0.0823,0.00042,-0.00042,0.00288,-0.00288
3.5,3.4,3.6,0.08288,0.0005,-0.0005,0.0029,-0.0029
3.7,3.6,3.8,0.08238,0.0006,-0.0006,0.00288,-0.00288
3.9,3.8,4.0,0.08291,0.00071,-0.00071,0.0029,-0.0029
4.25,4.0,4.5,0.07965,0.0006,-0.0006,0.00279,-0.00279
4.75,4.5,5.0,0.07097,0.00087,-0.00087,0.00248,-0.00248
5.5,5.0,6.0,0.05631,0.00096,-0.00096,0.00197,-0.00197
6.5,6.0,7.0,0.04072,0.00157,-0.00157,0.00143,-0.00143
7.5,7.0,8.0,0.03088,0.0023,-0.0023,0.00108,-0.00108
9.0,8.0,10.0,0.02348,0.0025,-0.0025,0.00082,-0.00082
11.0,10.0,12.0,0.01578,0.0043,-0.0043,0.00055,-0.00055

#: RE,,,PB PB --> CHARGED X
#: CENTRALITY [pct],,,0.0-5.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: N,,,4.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V_n','stat +','stat -','sys +','sys -'
0.55,0.5,0.6,0.004626,6.7e-05,-6.7e-05,0.000217,-0.000217
0.7,0.6,0.8,0.007099,5.1e-05,-5.1e-05,0.000334,-0.000334
0.9,0.8,1.0,0.01138,6e-05,-6e-05,0.00053,-0.00053
1.1,1.0,1.2,0.01604,7e-05,-7e-05,0.00075,-0.00075
1.2999999999999998,1.2,1.4,0.02097,9e-05,-9e-05,0.00099,-0.00099
1.5,1.4,1.6,0.02601,0.00011,-0.00011,0.00122,-0.00122
1.7000000000000002,1.6,1.8,0.03137,0.00013,-0.00013,0.00147,-0.00147
1.9,1.8,2.0,0.03639,0.00016,-0.00016,0.00171,-0.00171
2.1,2.0,2.2,0.04213,0.0002,-0.0002,0.00198,-0.00198
2.3,2.2,2.4,0.04687,0.00024,-0.00024,0.0022,-0.0022
2.5,2.4,2.6,0.0519,0.0003,-0.0003,0.00244,-0.00244
2.7,2.6,2.8,0.05525,0.00036,-0.00036,0.0026,-0.0026
2.9,2.8,3.0,0.0606,0.00044,-0.00044,0.00285,-0.00285
3.1,3.0,3.2,0.06366,0.00054,-0.00054,0.00299,-0.00299
3.3,3.2,3.4,0.06673,0.00065,-0.00065,0.00314,-0.00314
3.5,3.4,3.6,0.06851,0.00079,-0.00079,0.00322,-0.00322
3.7,3.6,3.8,0.06928,0.00094,-0.00094,0.00326,-0.00326
3.9,3.8,4.0,0.06814,0.00112,-0.00112,0.0032,-0.0032
4.25,4.0,4.5,0.06693,0.00094,-0.00094,0.00315,-0.00315
4.75,4.5,5.0,0.05979,0.00136,-0.00136,0.00281,-0.00281
5.5,5.0,6.0,0.04703,0.0015,-0.0015,0.00221,-0.00221
6.5,6.0,7.0,0.03268,0.00247,-0.00247,0.00154,-0.00154
7.5,7.0,8.0,0.02111,0.00361,-0.00361,0.00099,-0.00099
9.0,8.0,10.0,0.01494,0.00392,-0.00392,0.0007,-0.0007
11.0,10.0,12.0,0.02268,0.00676,-0.00676,0.00107,-0.00107

#: RE,,,PB PB --> CHARGED X
#: CENTRALITY [pct],,,0.0-5.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: N,,,5.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V_n','stat +','stat -','sys +','sys -'
0.55,0.5,0.6,0.001067,0.000158,-0.000158,0.000128,-0.000128
0.7,0.6,0.8,0.001838,0.000121,-0.000121,0.000221,-0.000221
0.9,0.8,1.0,0.00343,0.000144,-0.000144,0.000412,-0.000412
1.1,1.0,1.2,0.005387,0.000174,-0.000174,0.000646,-0.000646
1.2999999999999998,1.2,1.4,0.007513,0.000211,-0.000211,0.000902,-0.000902
1.5,1.4,1.6,0.01026,0.00026,-0.00026,0.00123,-0.00123
1.7000000000000002,1.6,1.8,0.01286,0.00031,-0.00031,0.00154,-0.00154
1.9,1.8,2.0,0.01599,0.00038,-0.00038,0.00192,-0.00192
2.1,2.0,2.2,0.01983,0.00047,-0.00047,0.00238,-0.00238
2.3,2.2,2.4,0.02359,0.00057,-0.00057,0.00283,-0.00283
2.5,2.4,2.6,0.02573,0.0007,-0.0007,0.00309,-0.00309
2.7,2.6,2.8,0.03116,0.00086,-0.00086,0.00374,-0.00374
2.9,2.8,3.0,0.03268,0.00104,-0.00104,0.00392,-0.00392
3.1,3.0,3.2,0.03554,0.00127,-0.00127,0.00426,-0.00426
3.3,3.2,3.4,0.03966,0.00153,-0.00153,0.00476,-0.00476
3.5,3.4,3.6,0.0374,0.00185,-0.00185,0.00449,-0.00449
3.7,3.6,3.8,0.04153,0.00222,-0.00222,0.00498,-0.00498
3.9,3.8,4.0,0.04262,0.00264,-0.00264,0.00511,-0.00511
4.25,4.0,4.5,0.0415,0.0022,-0.0022,0.00498,-0.00498
4.75,4.5,5.0,0.03284,0.0032,-0.0032,0.00394,-0.00394
5.5,5.0,6.0,0.02419,0.00353,-0.00353,0.0029,-0.0029
6.5,6.0,7.0,0.01176,0.0058,-0.0058,0.00141,-0.00141
7.5,7.0,8.0,0.01384,0.00848,-0.00848,0.00166,-0.00166
9.0,8.0,10.0,0.01557,0.0092,-0.0092,0.00187,-0.00187
11.0,10.0,12.0,0.01405,0.01591,-0.01591,0.00169,-0.00169

#: RE,,,PB PB --> CHARGED X
#: CENTRALITY [pct],,,0.0-5.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: N,,,6.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V_n','stat +','stat -','sys +','sys -'
0.55,0.5,0.6,-0.000712,0.00055,-0.00055,0.000271,-0.000271
0.7,0.6,0.8,0.000798,0.00042,-0.00042,0.000303,-0.000303
0.9,0.8,1.0,0.000721,0.000502,-0.000502,0.000274,-0.000274
1.1,1.0,1.2,0.001726,0.000606,-0.000606,0.000656,-0.000656
1.2999999999999998,1.2,1.4,0.002841,0.000735,-0.000735,0.00108,-0.00108
1.5,1.4,1.6,0.003972,0.000897,-0.000897,0.001509,-0.001509
1.7000000000000002,1.6,1.8,0.004841,0.001094,-0.001094,0.00184,-0.00184
1.9,1.8,2.0,0.00582,0.001335,-0.001335,0.002212,-0.002212
2.1,2.0,2.2,0.007775,0.001632,-0.001632,0.002955,-0.002955
2.3,2.2,2.4,0.01103,0.002,-0.002,0.00419,-0.00419
2.5,2.4,2.6,0.01342,0.00244,-0.00244,0.0051,-0.0051
2.7,2.6,2.8,0.01758,0.00298,-0.00298,0.00668,-0.00668
2.9,2.8,3.0,0.0192,0.00363,-0.00363,0.0073,-0.0073
3.1,3.0,3.2,0.02544,0.00442,-0.00442,0.00967,-0.00967
3.3,3.2,3.4,0.03311,0.00534,-0.00534,0.01258,-0.01258
3.5,3.4,3.6,0.02122,0.00644,-0.00644,0.00806,-0.00806
3.7,3.6,3.8,0.03227,0.00772,-0.00772,0.01226,-0.01226
3.9,3.8,4.0,0.01085,0.00919,-0.00919,0.00412,-0.00412
4.25,4.0,4.5,0.02085,0.00766,-0.00766,0.00792,-0.00792
4.75,4.5,5.0,0.01445,0.01115,-0.01115,0.00549,-0.00549
5.5,5.0,6.0,'-',0,0,0,0
6.5,6.0,7.0,'-',0,0,0,0
7.5,7.0,8.0,'-',0,0,0,0
9.0,8.0,10.0,'-',0,0,0,0
11.0,10.0,12.0,'-',0,0,0,0

