#: table_doi: 10.17182/hepdata.59488.v1/t48
#: name: Table 48
#: description: V_n vs PT for centrality 10 TO 20%.

#: data_file: Table48.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: RE,,,PB PB --> CHARGED X
#: CENTRALITY [pct],,,10.0-20.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: N,,,2.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V_n','stat +','stat -','sys +','sys -'
0.55,0.5,0.6,0.0469,3e-05,-3e-05,0.00155,-0.00155
0.7,0.6,0.8,0.05842,2e-05,-2e-05,0.00193,-0.00193
0.9,0.8,1.0,0.07369,2e-05,-2e-05,0.00243,-0.00243
1.1,1.0,1.2,0.08738,3e-05,-3e-05,0.00288,-0.00288
1.2999999999999998,1.2,1.4,0.09961,3e-05,-3e-05,0.00329,-0.00329
1.5,1.4,1.6,0.1107,0.0,-0.0,0.0037,-0.0037
1.7000000000000002,1.6,1.8,0.1207,0.0001,-0.0001,0.004,-0.004
1.9,1.8,2.0,0.13,0.0001,-0.0001,0.0043,-0.0043
2.1,2.0,2.2,0.1387,0.0001,-0.0001,0.0046,-0.0046
2.3,2.2,2.4,0.1461,0.0001,-0.0001,0.0048,-0.0048
2.5,2.4,2.6,0.1522,0.0001,-0.0001,0.005,-0.005
2.7,2.6,2.8,0.1572,0.0001,-0.0001,0.0052,-0.0052
2.9,2.8,3.0,0.1607,0.0002,-0.0002,0.0053,-0.0053
3.1,3.0,3.2,0.1627,0.0002,-0.0002,0.0054,-0.0054
3.3,3.2,3.4,0.164,0.0002,-0.0002,0.0054,-0.0054
3.5,3.4,3.6,0.1626,0.0003,-0.0003,0.0054,-0.0054
3.7,3.6,3.8,0.1611,0.0003,-0.0003,0.0053,-0.0053
3.9,3.8,4.0,0.1577,0.0004,-0.0004,0.0052,-0.0052
4.25,4.0,4.5,0.1504,0.0003,-0.0003,0.005,-0.005
4.75,4.5,5.0,0.1372,0.0005,-0.0005,0.0045,-0.0045
5.5,5.0,6.0,0.1174,0.0005,-0.0005,0.0039,-0.0039
6.5,6.0,7.0,0.09435,0.00086,-0.00086,0.00311,-0.00311
7.5,7.0,8.0,0.07777,0.00126,-0.00126,0.00257,-0.00257
9.0,8.0,10.0,0.06767,0.00137,-0.00137,0.00223,-0.00223
11.0,10.0,12.0,0.05515,0.00237,-0.00237,0.00182,-0.00182

#: RE,,,PB PB --> CHARGED X
#: CENTRALITY [pct],,,10.0-20.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: N,,,3.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V_n','stat +','stat -','sys +','sys -'
0.55,0.5,0.6,0.01613,4e-05,-4e-05,0.00056,-0.00056
0.7,0.6,0.8,0.02234,3e-05,-3e-05,0.00078,-0.00078
0.9,0.8,1.0,0.03137,3e-05,-3e-05,0.0011,-0.0011
1.1,1.0,1.2,0.0402,4e-05,-4e-05,0.00141,-0.00141
1.2999999999999998,1.2,1.4,0.04851,5e-05,-5e-05,0.0017,-0.0017
1.5,1.4,1.6,0.05643,6e-05,-6e-05,0.00198,-0.00198
1.7000000000000002,1.6,1.8,0.06417,8e-05,-8e-05,0.00225,-0.00225
1.9,1.8,2.0,0.07129,9e-05,-9e-05,0.00249,-0.00249
2.1,2.0,2.2,0.07798,0.00012,-0.00012,0.00273,-0.00273
2.3,2.2,2.4,0.08441,0.00014,-0.00014,0.00295,-0.00295
2.5,2.4,2.6,0.08992,0.00017,-0.00017,0.00315,-0.00315
2.7,2.6,2.8,0.09424,0.00021,-0.00021,0.0033,-0.0033
2.9,2.8,3.0,0.09799,0.00025,-0.00025,0.00343,-0.00343
3.1,3.0,3.2,0.1003,0.0003,-0.0003,0.0035,-0.0035
3.3,3.2,3.4,0.1023,0.0004,-0.0004,0.0036,-0.0036
3.5,3.4,3.6,0.1017,0.0004,-0.0004,0.0036,-0.0036
3.7,3.6,3.8,0.1016,0.0005,-0.0005,0.0036,-0.0036
3.9,3.8,4.0,0.09868,0.00061,-0.00061,0.00345,-0.00345
4.25,4.0,4.5,0.09509,0.0005,-0.0005,0.00333,-0.00333
4.75,4.5,5.0,0.08514,0.00072,-0.00072,0.00298,-0.00298
5.5,5.0,6.0,0.06875,0.00078,-0.00078,0.00241,-0.00241
6.5,6.0,7.0,0.05066,0.00126,-0.00126,0.00177,-0.00177
7.5,7.0,8.0,0.04332,0.00185,-0.00185,0.00152,-0.00152
9.0,8.0,10.0,0.03134,0.00202,-0.00202,0.0011,-0.0011
11.0,10.0,12.0,0.01822,0.00347,-0.00347,0.00064,-0.00064

#: RE,,,PB PB --> CHARGED X
#: CENTRALITY [pct],,,10.0-20.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: N,,,4.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V_n','stat +','stat -','sys +','sys -'
0.55,0.5,0.6,0.006047,6.3e-05,-6.3e-05,0.000284,-0.000284
0.7,0.6,0.8,0.009483,4.8e-05,-4.8e-05,0.000446,-0.000446
0.9,0.8,1.0,0.01502,6e-05,-6e-05,0.00071,-0.00071
1.1,1.0,1.2,0.02083,7e-05,-7e-05,0.00098,-0.00098
1.2999999999999998,1.2,1.4,0.02695,8e-05,-8e-05,0.00127,-0.00127
1.5,1.4,1.6,0.03328,0.0001,-0.0001,0.00156,-0.00156
1.7000000000000002,1.6,1.8,0.03934,0.00013,-0.00013,0.00185,-0.00185
1.9,1.8,2.0,0.04564,0.00015,-0.00015,0.00215,-0.00215
2.1,2.0,2.2,0.05207,0.00019,-0.00019,0.00245,-0.00245
2.3,2.2,2.4,0.05784,0.00023,-0.00023,0.00272,-0.00272
2.5,2.4,2.6,0.06335,0.00028,-0.00028,0.00298,-0.00298
2.7,2.6,2.8,0.06784,0.00034,-0.00034,0.00319,-0.00319
2.9,2.8,3.0,0.07196,0.00041,-0.00041,0.00338,-0.00338
3.1,3.0,3.2,0.07476,0.00049,-0.00049,0.00351,-0.00351
3.3,3.2,3.4,0.07667,0.00059,-0.00059,0.0036,-0.0036
3.5,3.4,3.6,0.07729,0.0007,-0.0007,0.00363,-0.00363
3.7,3.6,3.8,0.07756,0.00084,-0.00084,0.00364,-0.00364
3.9,3.8,4.0,0.07857,0.00099,-0.00099,0.00369,-0.00369
4.25,4.0,4.5,0.07363,0.00081,-0.00081,0.00346,-0.00346
4.75,4.5,5.0,0.06566,0.00116,-0.00116,0.00309,-0.00309
5.5,5.0,6.0,0.05361,0.00126,-0.00126,0.00252,-0.00252
6.5,6.0,7.0,0.03876,0.00204,-0.00204,0.00182,-0.00182
7.5,7.0,8.0,0.02292,0.00299,-0.00299,0.00108,-0.00108
9.0,8.0,10.0,0.0183,0.00326,-0.00326,0.00086,-0.00086
11.0,10.0,12.0,0.0111,0.00563,-0.00563,0.00052,-0.00052

#: RE,,,PB PB --> CHARGED X
#: CENTRALITY [pct],,,10.0-20.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: N,,,5.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V_n','stat +','stat -','sys +','sys -'
0.55,0.5,0.6,0.001653,0.000145,-0.000145,0.000198,-0.000198
