#: table_doi: 10.17182/hepdata.61769.v1/t9
#: name: Table 9
#: description: Odd  and even directed flow components (v1odd) relative to the spectator plane as a function of collision centrality.

#: data_file: Table9.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V1
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: PT [GeV],,,0.15-20.0
#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: SQRT(S)/NUCLEON [GeV],,,2760.0
'CENTRALITY [PCT]','CENTRALITY [PCT] LOW','CENTRALITY [PCT] HIGH','v1odd','stat +','stat -','sys +','sys -'
7.5,5.0,10.0,-0.0003049,5.69e-05,-5.69e-05,6.31e-05,-6.31e-05
15.0,10.0,20.0,-0.000295,3.12e-05,-3.12e-05,3.35e-05,-3.35e-05
25.0,20.0,30.0,-0.0003685,3.27e-05,-3.27e-05,4.24e-05,-4.24e-05
35.0,30.0,40.0,-0.0003535,4.03e-05,-4.03e-05,5.95e-05,-5.95e-05
45.0,40.0,50.0,-0.0004338,5.54e-05,-5.54e-05,5.13e-05,-5.13e-05
55.0,50.0,60.0,-0.0004307,8.36e-05,-8.36e-05,9.7e-05,-9.7e-05
65.0,60.0,70.0,-0.0006353,0.0001431,-0.0001431,0.0001177,-0.0001177
75.0,70.0,80.0,-0.0005358,0.0002867,-0.0002867,0.0004521,-0.0004521

#: PT [GeV],,,0.15-20.0
#: RE,,,PB PB --> CHARGED X
#: ETARAP,,,-0.8-0.8
#: SQRT(S)/NUCLEON [GeV],,,2760.0
'CENTRALITY [PCT]','CENTRALITY [PCT] LOW','CENTRALITY [PCT] HIGH','v1even','stat +','stat -','sys +','sys -'
7.5,5.0,10.0,-0.0003422,5.69e-05,-5.69e-05,0.0001479,-0.0001479
15.0,10.0,20.0,-0.0002798,3.12e-05,-3.12e-05,3.91e-05,-3.91e-05
25.0,20.0,30.0,-0.0002757,3.27e-05,-3.27e-05,4.65e-05,-4.65e-05
35.0,30.0,40.0,-0.0002046,4.03e-05,-4.03e-05,7.58e-05,-7.58e-05
45.0,40.0,50.0,-0.0002328,5.54e-05,-5.54e-05,0.0001224,-0.0001224
55.0,50.0,60.0,-0.000207,8.36e-05,-8.36e-05,0.0001534,-0.0001534
65.0,60.0,70.0,-3.83e-05,0.0001431,-0.0001431,0.0002382,-0.0002382
75.0,70.0,80.0,2.66e-05,0.0002867,-0.0002867,0.0006787,-0.0006787

