#: table_doi: 10.17182/hepdata.59488.v1/t50
#: name: Table 50
#: description: V_n vs PT for centrality 30 TO 40%.

#: data_file: Table50.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: RE,,,PB PB --> CHARGED X
#: CENTRALITY [pct],,,30.0-40.0
#: SQRT(S)/NUCLEON [GeV],,,2760.0
#: N,,,2.0
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','V_n','stat +','stat -','sys +','sys -'
0.55,0.5,0.6,0.07192,4e-05,-4e-05,0.00115,-0.00115
0.7,0.6,0.8,0.09047,3e-05,-3e-05,0.00145,-0.00145
0.9,0.8,1.0,0.1139,0.0,-0.0,0.0018,-0.0018
1.1,1.0,1.2,0.1344,0.0,-0.0,0.0022,-0.0022
1.2999999999999998,1.2,1.4,0.1522,0.0001,-0.0001,0.0024,-0.0024
1.5,1.4,1.6,0.1678,0.0001,-0.0001,0.0027,-0.0027
1.7000000000000002,1.6,1.8,0.1813,0.0001,-0.0001,0.0029,-0.0029
1.9,1.8,2.0,0.1935,0.0001,-0.0001,0.0031,-0.0031
2.1,2.0,2.2,0.203,0.0001,-0.0001,0.0032,-0.0032
2.3,2.2,2.4,0.2109,0.0001,-0.0001,0.0034,-0.0034
2.5,2.4,2.6,0.2168,0.0002,-0.0002,0.0035,-0.0035
2.7,2.6,2.8,0.2207,0.0002,-0.0002,0.0035,-0.0035
2.9,2.8,3.0,0.2224,0.0003,-0.0003,0.0036,-0.0036
3.1,3.0,3.2,0.2217,0.0003,-0.0003,0.0035,-0.0035
3.3,3.2,3.4,0.2196,0.0004,-0.0004,0.0035,-0.0035
3.5,3.4,3.6,0.216,0.0004,-0.0004,0.0035,-0.0035
3.7,3.6,3.8,0.2108,0.0005,-0.0005,0.0034,-0.0034
3.9,3.8,4.0,0.2063,0.0006,-0.0006,0.0033,-0.0033
4.25,4.0,4.5,0.194,0.0005,-0.0005,0.0031,-0.0031
4.75,4.5,5.0,0.1753,0.0007,-0.0007,0.0028,-0.0028
5.5,5.0,6.0,0.1534,0.0007,-0.0007,0.0025,-0.0025
6.5,6.0,7.0,0.1261,0.0011,-0.0011,0.002,-0.002
7.5,7.0,8.0,0.1112,0.0016,-0.0016,0.0018,-0.0018
